name,brand,descrizione,categoria,image_url
RRS18CBL-0,ryobi,"Sega compatta brushless 18V ONE+ ideale per tagliare diversi materiali come legno, metallo e plastica Il potente motore Brushless permette di tagliare velocemente i materiali grazie alle 3000 corse al minuto e la corsa della lama di 16mm Cambio della lama senza accessori",elettroutensili,/images/ryobi_prodotti/RRS18CBL-0.webp
Trapano a percussione 500W,ryobi,Variatore elettronico di velocita' e inversione del senso di rotazione Compatto e leggero Impugnatura GripZone™ per il massimo comfort,elettroutensili,/images/ryobi_prodotti/Trapanoapercussione500W.webp
Trapano a percussione 680W,ryobi,Variatore elettronico di velocità ed inversione del senso di rotazione Compatto e leggero Impugnatura GripZone™ per il massimo del comfort Mandrino autoserrante a una mano,elettroutensili,/images/ryobi_prodotti/Trapanoapercussione680W.webp
Trapano a percussione 800W,ryobi,Variatore elettronico di velocità ed inversione del senso di rotazione Compatto e leggero Impugnatura GripZone™ per il massimo del comfort Mandrino autoserrante a una mano,elettroutensili,/images/ryobi_prodotti/Trapanoapercussione800W.webp
Trapano a percussione 1010W 2 velocità,ryobi,Variatore elettronico di velocita' ed inversione del senso di rotazione Compatto e leggero Impugnatura GripZone™ per il massimo del comfort Ingranaggi in acciaio per una maggior durata nel tempo,elettroutensili,/images/ryobi_prodotti/Trapanoapercussione1010W2velocità.webp
Trapano a percussione 1200W 2 velocità,ryobi,Variatore elettronico di velocità ed inversione del senso di rotazione Compatto e leggero Impugnatura GripZone™ per il massimo del comfort Ingranaggi in acciaio per una lunga durata nel tempo,elettroutensili,/images/ryobi_prodotti/Trapanoapercussione1200W2velocità.webp
Trapano a Percussione 18V BRUSHLESS,ryobi,"La tecnologia Brushless di Ryobi utilizza un'elettronica brevettata in grado più autonomia ed maggiore potenza 3 modalità di lavoro: percussione su muratura, forare legno, metallo o plastica, avvitare mediante l'uso delle frizioni Mandrino a cricchetto autoserrante 13mm in metallo per una tenuta salda dell'inserto ed una maggiore durata nel tempo",elettroutensili,/images/ryobi_prodotti/TrapanoaPercussione18VBRUSHLESS.webp
Pistola per Cartucce 18V,ryobi,"Pistola a batteria ideale per l'uso con cartucce di sigillanti Elevata pressione (225 kg / 2.225 N), sufficientemente potente anche per sigillanti ad alta viscosità Strumento di perforazione integrato per aiutare ad aprire il tubo",elettroutensili,/images/ryobi_prodotti/PistolaperCartucce18V.webp
Levigatrice Orbitale 1/3 Foglio 200W,ryobi,Ideale per applicazioni come la finitura e la rimozione di vernice Potente motore 200W Platorello rettangolare 1/3 foglio ideale per levigare ampie superfici Possibilità di fissare i fogli abrasivi con gancio o velcro,elettroutensili,/images/ryobi_prodotti/LevigatriceOrbitale13Foglio200W.webp
Avvitatore ad Impulsi 3 Velocità 18V,ryobi,"Avvitatore ad impulsi ideale per serrare e rimuovere rapidamente gli elementi di fissaggio Meccanismo ad impatto che garantisce una potenza fino a 4 volte superiore rispetto ad un trapano 3 livelli di velocità per avere un estremo controllo in ogni applicazione, dal montaggio di cerniere ed avvitature nel deck alle avvitature più impegnative",elettroutensili,/images/ryobi_prodotti/AvvitatoreadImpulsi3Velocità18V.webp
Avvitatore ad Impulsi 18V,ryobi,"Avvitatore ad impulsi ideale per serrare e rimuovere rapidamente gli elementi di fissaggio 220Nm di coppia per avvitare facilmente lunghe viti e strigere dadi Attacco rapido 1/4"" (6.35mm) per una facile e veloce sostituzione dei bit",elettroutensili,/images/ryobi_prodotti/AvvitatoreadImpulsi18V.webp
"Avvitatore ad impulsi 1/4"" esagonale 18V",ryobi,"Avvitatore ad impulsi per lavori di avvitatura veloci e senza sforzo Fino a 200 Nm di coppia Attacco 1/4"" esagonale",elettroutensili,/images/ryobi_prodotti/Avvitatoreadimpulsi14esagonale18V.webp
"Avvitatore ad Impulsi ¼"" 18V Brushless",ryobi,300Nm di coppia per avvitare facilmente lunghe viti e strigere dadi 4 Velocità per diverse applicazioni Modalità assistita per rimuovere le viti in sicurezza Velocità variabile,elettroutensili,/images/ryobi_prodotti/AvvitatoreadImpulsi¼18VBrushless.webp
Troncatrice Radiale 18V,ryobi,Troncatrice radiale con capacità di taglio fino a 70x270mm a 90° Angolazione di taglio fino a 45° Lama 216mm 48 denti in carburo di tungsteno di elevata qualità per tagli sempre perfetti,elettroutensili,/images/ryobi_prodotti/TroncatriceRadiale18V.webp
Troncatrice radiale 18V 190mm,ryobi,"Compatta e leggera, per la massima portabilità Diversi tipi di taglio (diritto, angolato, inclinato) con la comodità e praticità di una troncatrice a batteria 18V Diametro disco 190mm",elettroutensili,/images/ryobi_prodotti/Troncatriceradiale18V190mm.webp
Troncatrice 18V,ryobi,"Lama 190mm, design compatto e facile trasporto Capacità di taglio 0° x 90° : 38 x 108 mm Capacità di taglio 45° x 90° : 38 x 76 mm Capacità di taglio 0° x 45° : 38 x 95 mm",elettroutensili,/images/ryobi_prodotti/Troncatrice18V.webp
Troncatrice radiale 254mm 2000W minimo ingombro,ryobi,Guida laser ExactLine per una maggiore precisione di taglio 2 LED per illuminare meglio l’area di taglio Barre di scorrimento in avanti per lavorare contro il muro Facile da riporre e trasportare grazie al design ultracompatto,elettroutensili,/images/ryobi_prodotti/Troncatriceradiale254mm2000Wminimoingombro.webp
Troncatrice radiale 216mm 1500W minimo ingombro,ryobi,Guida laser ExactLine per una maggiore precisione di taglio 2 LED per illuminare meglio l’area di taglio Barre di scorrimento in avanti per lavorare contro il muro Facile da riporre e trasportare grazie al design ultracompatto,elettroutensili,/images/ryobi_prodotti/Troncatriceradiale216mm1500Wminimoingombro.webp
